player,innings_batted,runs,balls_faced,dismissals,batting_avg,strike_rate,highest_score,fifties,hundreds,innings_bowled,balls_bowled,runs_conceded,wickets,economy,bowling_avg
A Ashish Reddy,23.0,280.0,196.0,15.0,18.67,142.86,36.0,0.0,0.0,20.0,270.0,396.0,18.0,8.8,22.0
A Badoni,56.0,1178.0,885.0,46.0,25.61,133.11,74.0,7.0,0.0,8.0,41.0,63.0,4.0,9.22,15.75
A Chandila,2.0,4.0,7.0,0.0,4.0,57.14,4.0,0.0,0.0,12.0,234.0,242.0,11.0,6.21,22.0
A Chopra,6.0,53.0,75.0,6.0,8.83,70.67,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Choudhary,3.0,25.0,20.0,1.0,25.0,125.0,15.0,0.0,0.0,5.0,108.0,144.0,5.0,8.0,28.8
A Dananjaya,1.0,4.0,5.0,0.0,4.0,80.0,4.0,0.0,0.0,1.0,25.0,47.0,0.0,11.28,0.0
A Flintoff,3.0,62.0,57.0,2.0,31.0,108.77,24.0,0.0,0.0,3.0,66.0,105.0,2.0,9.55,52.5
A Kamboj,10.0,74.0,55.0,3.0,24.67,134.55,19.0,0.0,0.0,25.0,513.0,816.0,31.0,9.54,26.32
A Kumble,15.0,35.0,49.0,3.0,11.67,71.43,8.0,0.0,0.0,42.0,983.0,1058.0,45.0,6.46,23.51
A Manohar,20.0,292.0,243.0,19.0,15.37,120.16,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mhatre,13.0,441.0,250.0,13.0,33.92,176.4,94.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,55.0,381.0,440.0,32.0,11.91,86.59,31.0,0.0,0.0,162.0,3444.0,4145.0,174.0,7.22,23.82
A Mithun,6.0,34.0,26.0,5.0,6.8,130.77,11.0,0.0,0.0,16.0,312.0,472.0,7.0,9.08,67.43
A Mukund,2.0,19.0,23.0,2.0,9.5,82.61,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nehra,17.0,41.0,63.0,7.0,5.86,65.08,22.0,0.0,0.0,88.0,1974.0,2495.0,106.0,7.58,23.54
A Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,31.0,1.0,10.33,31.0
A Nortje,14.0,49.0,52.0,7.0,7.0,94.23,23.0,0.0,0.0,49.0,1169.0,1696.0,61.0,8.7,27.8
A Raghuvanshi,30.0,885.0,628.0,26.0,34.04,140.92,82.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Singh,5.0,2.0,10.0,4.0,0.5,20.0,1.0,0.0,0.0,23.0,486.0,620.0,28.0,7.65,22.14
A Symonds,36.0,974.0,781.0,27.0,36.07,124.71,117.0,5.0,1.0,30.0,540.0,674.0,20.0,7.49,33.7
A Tomar,1.0,4.0,8.0,1.0,4.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Uniyal,2.0,4.0,7.0,1.0,4.0,57.14,4.0,0.0,0.0,2.0,38.0,66.0,2.0,10.42,33.0
A Zampa,5.0,15.0,25.0,5.0,3.0,60.0,7.0,0.0,0.0,22.0,475.0,652.0,31.0,8.24,21.03
AA Bilakhia,7.0,69.0,88.0,5.0,13.8,78.41,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Chavan,3.0,12.0,11.0,2.0,6.0,109.09,7.0,0.0,0.0,13.0,255.0,326.0,8.0,7.67,40.75
AA Jhunjhunwala,15.0,217.0,218.0,13.0,16.69,99.54,53.0,1.0,0.0,10.0,88.0,129.0,1.0,8.8,129.0
AA Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,21.0,0.0,9.69,0.0
AA Kulkarni,4.0,26.0,33.0,4.0,6.5,78.79,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,1.0,9.0,12.0,1.0,9.0,75.0,9.0,0.0,0.0,1.0,25.0,40.0,1.0,9.6,40.0
AB Agarkar,18.0,179.0,160.0,10.0,17.9,111.87,39.0,0.0,0.0,42.0,820.0,1151.0,29.0,8.42,39.69
AB Barath,3.0,42.0,43.0,2.0,21.0,97.67,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB Dinda,16.0,26.0,50.0,10.0,2.6,52.0,7.0,0.0,0.0,75.0,1589.0,2073.0,69.0,7.83,30.04
AB McDonald,9.0,123.0,103.0,5.0,24.6,119.42,33.0,0.0,0.0,10.0,188.0,261.0,11.0,8.33,23.73
AB de Villiers,170.0,5181.0,3487.0,130.0,39.85,148.58,133.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Blizzard,7.0,120.0,91.0,7.0,17.14,131.87,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC Gilchrist,80.0,2069.0,1555.0,76.0,27.22,133.05,109.0,11.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
AC Thomas,4.0,20.0,19.0,2.0,10.0,105.26,12.0,0.0,0.0,15.0,327.0,406.0,14.0,7.45,29.0
AC Voges,7.0,181.0,143.0,4.0,45.25,126.57,45.0,0.0,0.0,7.0,56.0,76.0,0.0,8.14,0.0
AD Hales,6.0,148.0,119.0,6.0,24.67,124.37,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Mascarenhas,11.0,79.0,79.0,9.0,8.78,100.0,27.0,0.0,0.0,13.0,310.0,356.0,19.0,6.89,18.74
AD Mathews,41.0,724.0,599.0,31.0,23.35,120.87,65.0,1.0,0.0,44.0,807.0,1079.0,27.0,8.02,39.96
AD Nath,10.0,90.0,99.0,10.0,9.0,90.91,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD Russell,114.0,2655.0,1626.0,95.0,27.95,163.28,88.0,12.0,0.0,121.0,1885.0,2863.0,123.0,9.11,23.28
AF Milne,7.0,25.0,33.0,4.0,6.25,75.76,15.0,0.0,0.0,11.0,238.0,368.0,7.0,9.28,52.57
AG Murtaza,3.0,10.0,14.0,1.0,10.0,71.43,5.0,0.0,0.0,12.0,269.0,313.0,9.0,6.98,34.78
AG Paunikar,5.0,49.0,61.0,5.0,9.8,80.33,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Finch,90.0,2092.0,1696.0,84.0,24.9,123.35,88.0,15.0,0.0,5.0,44.0,67.0,1.0,9.14,67.0
